"question_id","question","answer1","answer2","answer3","answer4","correct_answer","topic_id","active","elo_rating","created_at"
"216","U jednom uredu radi 18 ljudi. Ako se 7 ljudi više zaposlilo, koliko ljudi sada radi u uredu?","20","22","25","27","3","7","true","800","2025-05-14 16:31:50.118477"
"217","Marko je kupio 3 vreće krumpira. Svaka vreća ima 9 kg krumpira. Koliko kg krumpira Marko ima ukupno?","21","27","30","36","2","7","true","800","2025-05-14 16:33:06.272179"
"218","U jednom gradu ima 12 škola. Svaka škola ima 8 razreda. Koliko razreda ima u gradu ukupno?","80","90","96","100","3","7","true","800","2025-05-14 16:33:13.141378"
"219","Jedan stol ima 4 noge. Koliko noga ima 9 stolova ukupno?","16","20","36","40","3","7","true","800","2025-05-14 16:33:35.978286"
"220","Tomislav ima 8 kutija čokolada. Svaka kutija ima 12 čokolada. Koliko čokolada ima Tomislav ukupno?","40","60","96","120","3","7","true","800","2025-05-14 16:34:08.428697"
"221","U jednom vrtu ima 15 redova cvijeća. Svaki red ima 8 cvijeća. Koliko cvijeća ima u vrtu ukupno?","60","80","120","160","3","7","true","800","2025-05-14 16:34:13.844489"
"222","Ana ima 9 knjiga u svojoj knjižnici. Svaka knjiga ima 11 stranica. Koliko stranica ima Ana ukupno?","90","99","110","121","2","7","true","800","2025-05-14 16:34:18.463465"
"223","Marko ima 12 stolova u svojoj trgovini. Svaki stol ima 8 stolica. Koliko stolica ima Marko ukupno?","48","64","80","96","4","7","true","800","2025-05-14 16:34:26.393453"
"224","U jednom gradu ima 10 škola. Svaka škola ima 9 razreda. Koliko razreda ima u gradu ukupno?","40","50","60","90","4","7","true","800","2025-05-14 16:34:31.57569"
"225","Ivan je kupio 5 vreća brašna. Svaka vreća ima 20 kg brašna. Koliko kg brašna je Ivan kupio ukupno?","80","90","100","120","3","7","true","800","2025-05-14 16:34:40.716437"
"226","U jednom uredu radi 8 ljudi. Svaki čovjek radi 12 sati dnevno. Koliko sati ljudi ukupno rade?","48","64","80","96","4","7","true","800","2025-05-14 16:35:05.545059"
"227","Đakovačku je katedralu posjetilo 75 domaćih i 5 puta više stranih turista. Koliko je stranih turista posjetilo katedralu?","250","300","375","400","3","7","true","800","2025-05-14 16:35:16.698078"
"228","Luka je kupio 4 stola. Svaki stol košta 25 eura. Koliko eura je Luka potrošio za stolove?","80","90","100","120","3","7","true","800","2025-05-14 16:35:30.580395"
"229","U jednom vrtu ima 18 redova cvijeća. Svaki red ima 15 cvijeća. Koliko cvijeća ima u vrtu ukupno?","180","210","240","270","4","7","true","800","2025-05-14 16:35:39.71499"
"230","Koja od ovih stvari je živo biće?","Sunce","Drvo","Kamen","Oblak","2","8","true","785","2025-05-28 12:19:31.009026"
"231","Što je zajedničko jabukama, narančama i bananama?","To su životinje","To je povrće","To je voće","Raste u vodi","3","8","true","801","2025-05-28 12:19:55.857185"
"232","Kako nazivamo tvari kroz koje možemo vidjeti?","Prozirne","Guste","Čvrste","Mirisne","1","8","false","784","2025-05-28 12:20:17.88417"
"233","Što radimo s otpadom da ne bi zagadili okoliš?","Bacamo ga na ulicu","Bacamo ga u rijeku","Razvrstavamo ga","Ne brinemo se za njega","3","8","true","730","2025-05-28 12:20:23.325559"
"234","Koja od ovih aktivnosti je dobra za naše zdravlje?","Gledanje televizije","Jedanje slatkiša svaki dan","Pranje ruku prije obroka","Sjediti cijeli dan","3","8","true","777","2025-05-28 12:20:37.842943"
"235","Kako nazivamo period godine kada je najviše topline i sunca?","Proljeće","Jesen","Zima","Ljeto","4","8","true","755","2025-05-28 12:20:41.942137"
"236","Koji dio tijela nam omogućuje da vidimo?","Uši","Nos","Oči","Ruku","3","8","true","777","2025-05-28 12:20:45.733077"
"237","Što od sljedećeg je potrebno za rast biljaka?","Voda","Bomboni","Plastika","Televizor","1","8","true","758","2025-05-28 12:21:26.20892"
"238","Koji od ovih životinja se kreće pužući?","Pas","Ptica","Žaba","Puž","4","8","true","794","2025-05-28 12:21:30.397078"
"239","Koja od ovih tvari je tekuća?","kamen","voda","drvo","knjiga","2","8","true","748","2025-05-28 12:21:46.398213"
"240","Koji od ovih životinja se kreće skačući?","zec","zmija","kornjača","crv","1","8","true","785","2025-05-28 12:21:51.850507"
"241","Što od sljedećeg je važno za rast biljaka?","igračke","sunce","televizor","auto","2","8","true","753","2025-05-28 12:21:59.443202"
"242","Koji od ovih plodova je voće?","krumpir","banana","mrkva","grašak","2","8","true","788","2025-05-28 12:22:11.250106"
"243","Kako nazivamo period godine kada pada snijeg?","ljeto","proljet","zima","jesen","3","8","true","764","2025-05-28 12:22:14.020812"
"244","Koji dio tijela nam omogućuje da čujemo?","oči","nos","uši","usta","3","8","true","713","2025-05-28 12:22:16.805921"
"245","Koja od ovih stvari je živo biće?","stol","cvijet","kamen","automobil","2","8","true","795","2025-05-28 12:22:25.764669"
"246","Koji dio tijela nam omogućuje da osjetimo okuse?","Uši","Oči","Nos","Jezik","4","8","true","778","2025-05-28 12:23:11.483867"
"247","Što je zajedničko kupusu, blitvi i cikli? To je ...","Voće","Povrće","Žitarice","Slatkiši","2","8","true","773","2025-05-28 12:23:33.619158"
"248","Koji dio tijela nam omogućuje da čujemo?","Oči","Uši","Nos","Jezik","2","8","true","738","2025-05-28 12:23:39.67338"
"249","Koji od sljedećih životinja se kreće letenjem?","Pas","Mačak","Ptica","Ribica","3","8","true","786","2025-05-28 12:23:42.782856"
"250","Koji od sljedećih plodova je voće?","Krumpir","Luk","Jabuka","Kupus","3","8","true","789","2025-05-28 12:23:53.13191"
"251","Koji dio tijela nam omogućuje da osjećamo dodir?","Koža","Kosa","Oči","Uši","1","8","true","799","2025-05-28 12:23:58.508146"
"252","Koji od ovih plodova nije voće?","Jabuka","Naranča","Bananca","Krumpir","4","8","true","778","2025-05-28 12:24:31.922105"
"253","Koji dio tijela nam omogućuje da osjećamo toplinu ili hladnoću?","Koža","Oči","Uši","Nos","1","8","true","787","2025-05-28 12:24:37.296603"
"254","Koja od ovih životinja se kreće plivanjem?","Pas","Mačka","Ribica","Ptica","3","8","true","698","2025-05-28 12:24:46.477896"
"255","Koliko dana ima mjesec prosinac?","28","30","31","29","3","8","true","787","2025-05-28 12:25:59.082299"
"256","Koji je alat koristan za mjerenje trajanja aktivnosti?","termometar","ravnalo","štoperica","olovka","3","8","true","832","2025-05-28 12:26:03.06156"
"257","Kako nazivamo vrijeme koje je već prošlo?","sadašnjost","budućnost","prošlost","sutra","3","8","true","786","2025-05-28 12:26:16.649953"
"258","Kako nazivamo vrijeme koje dolazi nakon sadašnjosti?","prošlost","sadašnjost","budućnost","jučer","3","8","true","780","2025-05-28 12:26:20.111718"
"259","U kojem mjesecu slaviš kraj godine?","prosinac","siječanj","veljača","ožujak","1","8","true","782","2025-05-28 12:26:34.140069"
"260","Koliko sati ima u jednom danu?","12","24","30","60","2","8","true","733","2025-05-28 12:26:41.852412"
"261","Što koristimo da bismo vidjeli koji dan je danas?","sat","štoperica","kalendar","termometar","3","8","true","788","2025-05-28 12:26:46.426701"
"262","Kako nazivamo vrijeme koje je trenutno?","prošlost","sadašnjost","budućnost","jutro","2","8","true","724","2025-05-28 12:26:49.697604"
"263","Koliko minuta ima u jednom satu?","30","45","60","100","3","8","true","769","2025-05-28 12:28:10.102551"
"264","Koji od ovih ljudi je član uže obitelji?","Susjed","Prijatelj","Učiteljica","Sestra","4","8","true","650","2025-05-28 12:28:48.023941"
"265","Kako nazivamo oblik planine?","Kugla","Kocka","Stožac","Kvadrat","3","8","true","789","2025-05-28 12:28:57.21656"
"266","Koji od ovih ljudi je liječnik?","Vatrogasac","Prodavačica","Učitelj","Doktor","4","8","false","774","2025-05-28 12:29:11.148551"
"267","Kako nazivamo oblik sunca?","Krug","Trokut","Pravokutnik","Zvijezda","1","8","true","737","2025-05-28 12:29:24.971416"
"268","Koji je dio mjesta u kojemu živi namijenjen za rekreaciju?","Park","Škola","Tržnica","Bolnica","1","8","false","879","2025-05-28 12:30:15.345159"
"269","Koje je to godišnje doba kada je najviše sunčanih sati?","proljet","ljeto","jesen","zima","2","8","true","721","2025-05-28 12:31:06.469075"
"270","Što se događa s drvećem u jesen?","Cvijeta","donosi plodove","gubi listove","raste novo lišće","3","8","true","877","2025-05-28 12:31:30.71214"
"271","Što životinje čine prije zime?","igraju se","grade gnijezda","pripremaju se za zimski san","pjevaju","3","8","false","794","2025-05-28 12:31:50.00917"
"272","Što se događa s pticama selicama u jesen?","grade gnijezda","sele u toplije krajeve","pjevaju","donose mladunce","2","8","true","800","2025-05-28 12:32:28.768847"
"273","Koji je period godine kada su najduži dan?","Zima","Proljeće","Ljeto","Jesen","3","8","true","798","2025-05-28 12:32:58.809016"
"274","Koji je period godine kada su noći najduže?","Ljeto","Jesen","Zima","Proljeće","3","8","true","793","2025-05-28 12:33:20.461175"
"275","U kojem mjesecu počinje zima?","Studeni","Prosinac","Siječanj","Veljača","2","8","true","804","2025-05-28 12:33:41.576354"
"276","Koja od ovih stvari je izvor energije?","Sunce","Knjiga","Stolica","Zrak","1","8","true","787","2025-05-28 12:36:19.453519"
"277","Kako se zove energija koju dobivamo od Sunca?","Solarna energija","Vjetarna energija","Vodena energija","Nuklearna energija","1","8","true","786","2025-05-28 12:36:21.919869"
"278","Kako nazivamo energiju koju koristimo kod kuće za svjetlo i uređaje?","Toplinska energija","Električna energija","Kemijska energija","Sunčeva energija","2","8","true","753","2025-05-28 12:36:40.967155"
"279","Koje od ovih vozila koristi benzin kao izvor energije?","Bicikl","Automobil","Tramvaj","Vlak","2","8","true","777","2025-05-28 12:36:54.454264"
"280","Kako možemo uštedjeti električnu energiju kod kuće?","Pustiti svjetlo upaljeno kad napustimo sobu","Koristiti više topline kad je hladno","Isključiti uređaje kad ih ne koristimo","Ostaviti vodu da teče ","3","8","true","809","2025-05-28 12:37:08.528919"
"281","Što se događa s električnom energijom kad uključimo žarulju?","Pretvara se u toplinu i svjetlost","Pretvara se u zvuk","Nestane","Pretvara se u vodu","1","8","true","784","2025-05-28 12:37:21.842489"
"282","Kako nazivamo oca svoje majke?","stric","djed","brat","tata","2","8","true","785","2025-05-28 12:40:07.793618"
"283","Kako nazivamo brata moje majke?","stric","ujak","brat","djed","2","8","true","755","2025-05-28 12:40:23.281428"
"284","Kako nazivamo oca moje tete?","pradjed","djed","otac","brat","2","8","true","793","2025-05-28 12:40:31.984179"
"285","Kako nazivamo majku moje majke?","baka","sestra","tetka","teta","1","8","true","761","2025-05-28 12:40:39.565817"
"286","Kako nazivamo brata moga oca?","brat","ujak","stric","otac","3","8","true","795","2025-05-28 12:40:43.210992"
"287","Kako nazivamo kćerku moje tete?","nećakinja","sestrična","tetka","rođakinja","2","8","true","815","2025-05-28 12:40:48.268226"
"288","Kako nazivamo oca moga djeda?","pradjed","otac","djed","brat","1","8","true","785","2025-05-28 12:40:50.964822"
"289","Kako nazivamo majku moje tete?","baka","teta","sestra","majka","1","8","true","789","2025-05-28 12:40:55.892826"
"290","Kako nazivamo oca moje majke?","brat","stric","djed","tata","3","8","true","799","2025-05-28 12:41:06.032677"
"291","Koga bi trebali pozvati ako vidite požar?","policiju","vatrogasce","hitnu pomoć","učitelja","2","8","true","665","2025-05-28 12:42:31.914887"
"292","Koga bi trebali pozvati ako vidite ozlijeđenu životinjicu?","vatrogasce","veterinara","policiju","učitelja","2","8","false","792","2025-05-28 12:43:20.861222"
"293","Koji je broj za policiju u Hrvatskoj?","196","192","193","194","2","8","true","785","2025-05-28 12:44:14.909079"
"294","Koji je broj za hitnu medicinsku pomoć u Hrvatskoj?","195","192","193","194","4","8","true","846","2025-05-28 12:44:37.385012"
"295","Koji je broj vatrogasaca u Hrvatskoj","193","192","191","195","1","8","true","809","2025-05-28 12:45:19.531612"
"296","Koje od ovih boja je topla boja?","Plava","Žuta","Zelena","Ljubičasta","2","8","true","704","2025-05-28 12:46:21.347242"
"297","Koje od ovih boja je hladna boja?","Crvena","Plava","Naranja","Žuta","2","8","true","853","2025-05-28 12:46:23.932027"
"298","Što dobiješ ako pomiješaš crvenu i plavu boju?","Žuta","ljubičasta","zelena","narančasta","2","8","true","795","2025-05-28 12:46:28.046527"
"299","Što dobiješ ako pomiješaš žutu i plavu boju?","narančasta","zelena","ljubičasta","crvena","2","8","true","756","2025-05-28 12:46:39.195635"
"300","Što dobiješ ako pomiješaš crvenu i žutu boju?","narančasta","zelena","ljubičasta","crvena","1","8","true","791","2025-05-28 12:46:46.844911"
"301","Koja boja je suprotna/kontrastna od plave?","žuta","crvena","narančasta","zelena","1","8","true","867","2025-05-28 12:46:57.614887"
"302","Koje od ovih boja je topla boja?","plava","zelena","crvena","ljubičasta","3","8","true","683","2025-05-28 12:47:22.097837"
"303","Koje od ovih boja je hladna boja?","žuta","narančasta","plava","crvena","3","8","true","716","2025-05-28 12:47:27.904799"
"304","Kad drvo jabuke nosi plodove?","proljeće","ljeto","jesen","zima","3","8","true","927","2025-05-28 12:48:50.363573"
"305","Koliko dana ima mjesec srpanj?","28","30","31","29","3","8","true","693","2025-05-28 12:50:20.73814"
"306","Kojem godišnjem dobu pripada mjesec srpanj?","Proljeće","Ljeto","Jesen","Zima","2","8","true","935","2025-05-28 12:50:21.620491"
"307","Koliko dana ima mjesec veljača, ako nije prijestupna godina?","28","30","31","29","1","8","true","853","2025-05-28 12:50:41.140669"
"308","Kojem godišnjem dobu pripada mjesec veljača?","Proljeće","Ljeto","Jesen","Zima","4","8","true","940","2025-05-28 12:50:42.964691"
"309","Koliko dana ima mjesec ožujak?","28","30","31","29","3","8","true","909","2025-05-28 12:50:45.482981"
"310","Kojem godišnjem dobu pripada mjesec ožujak?","Proljeće","Ljeto","Jesen","Zima","1","8","true","874","2025-05-28 12:50:48.952279"
"311","Koliko dana ima mjesec travanj?","28","30","31","29","2","8","true","777","2025-05-28 12:51:10.428534"
"312","Koliko dana ima mjesec svibanj?","28","30","31","29","3","8","true","812","2025-05-28 12:51:16.752856"
"313","Kojem godišnjem dobu pripada mjesec svibanj?","Proljeće","Ljeto","Jesen","Zima","1","8","true","791","2025-05-28 12:51:18.394981"
"314","Koliko dana ima mjesec lipanj?","28","30","31","29","2","8","true","738","2025-05-28 12:51:24.049976"
"315","Koliko dana ima mjesec srpanj?","28","30","31","29","3","8","true","845","2025-05-28 12:51:30.007087"
"316","Kojem godišnjem dobu pripada mjesec srpanj?","Proljeće","Ljeto","Jesen","Zima","2","8","true","784","2025-05-28 12:51:33.275467"
"317","Koliko dana ima mjesec kolovoz?","28","30","31","29","3","8","true","795","2025-05-28 12:51:37.140079"
"318","Kojem godišnjem dobu pripada mjesec kolovoz?","Proljeće","Ljeto","Jesen","Zima","2","8","true","787","2025-05-28 12:51:38.488848"
"319","Koliko dana ima mjesec rujan?","28","30","31","29","2","8","true","811","2025-05-28 12:52:02.262987"
"320","Koliko dana ima mjesec listopad?","28","30","31","29","3","8","true","786","2025-05-28 12:52:07.844843"
"321","Kojem godišnjem dobu pripada mjesec listopad?","Proljeće","Ljeto","Jesen","Zima","3","8","true","789","2025-05-28 12:52:18.702278"
"322","Koliko dana ima mjesec studeni?","28","30","31","29","2","8","true","797","2025-05-28 12:52:26.455124"
"323","Kojem godišnjem dobu pripada mjesec studeni?","Proljeće","Ljeto","Jesen","Zima","3","8","true","919","2025-05-28 12:52:40.214037"
"324","U kojem mjesecu počinje proljeće","svibanj","lipanj","ožujak","travanj","4","8","true","1019","2025-05-28 12:56:18.266328"
"325","U kojem mjesecu kreće ljeto?","kolovoz","lipanj","rujan","srpanj","2","8","true","786","2025-05-28 12:56:38.775356"
"326","U kojem mjesecu kreće jesen","rujan","listopad","kolovoz","svibanj","1","8","true","787","2025-05-28 12:57:03.311138"
"327","U kojem mjesecu kreće zima?","studeni","siječanj","prosinac","listopad","3","8","true","908","2025-05-28 12:57:26.320174"
"328","Koja od ovih namirnica je biljnog podrijetla?","Jabuka","Meso","Mlijeko","Šunka","1","8","true","784","2025-05-28 12:58:48.313278"
"329","Koji od ovih namirnica je životinjskog podrijetla?","Kruh","Jogurt","Salata","Riba","4","8","true","787","2025-05-28 12:58:53.102962"
"330","Što dobivamo od krave?","Jabuke","Mlijeko","Kruh","Žitarice","2","8","true","785","2025-05-28 12:59:07.824675"
"331","Koji od ovih namirnica je dobivena od životinje?","Jaja","Kruh","Banane","Krumpir","1","8","true","800","2025-05-28 12:59:15.97527"
"332","Koji od ovih namirnica je prirodni izvor vitamina C?","Sladoled","Naranča","Šunka","Čokolada","2","8","true","785","2025-05-28 12:59:28.722011"
"333","Kada slaviš Božić?","25. prosinca","1. travnja","1. svibnja","1. rujna","1","8","true","720","2025-05-28 13:00:11.15951"
"334","Kada slaviš Uskrs?","u ljeto","u zimu","u proljeće","u jesen","3","8","true","785","2025-05-28 13:00:50.548591"
"335","Koja od ovih životinja ima rogove?","Mačka","Krava","Pas","Ptica","2","8","true","794","2025-05-28 13:02:48.917122"
"336","Koja od ovih životinja živi u moru?","Lav","Ribe","Slon","Zebra","2","8","true","787","2025-05-28 13:02:54.709863"
"337","Koja od ovih životinja može letjeti?","Zmija","Vuk","Štakor","Orao","4","8","true","787","2025-05-28 13:02:57.303986"
"338","Koja od ovih životinja je domaća životinja?","Medvjed","Konj","Vuk","Lisica","2","8","true","787","2025-05-28 13:02:59.63159"
"339","Koja od ovih životinja živi u Hrvatskoj?","Lav","Žirafa","Vjeverica","Tigre","3","8","true","786","2025-05-28 13:03:06.272501"
"340","Koja od ovih životinja ima perje?","Zec","Medvjedić","Galeb","Žaba","3","8","true","788","2025-05-28 13:03:12.505671"
"341","Koja od ovih životinja je sisavac?","Zmija","Vrabac","Kornjača","Mačka","4","8","true","785","2025-05-28 13:03:30.408806"
"342","Koja od ovih životinja se hrani biljem?","Lav","Zec","Vuk","Tigar","2","8","true","911","2025-05-28 13:03:36.924633"
"343","Koji dio tijela životinje omogućuje letenje?","Rep","Krila","Noge","Glava","2","8","true","785","2025-05-28 13:04:20.714038"
"344","Koja od ovih životinja živi u moru?","Medvjed","Vuk","Dupin","Orao","3","8","true","782","2025-05-28 13:04:35.680023"
"345","Koji dio tijela životinje koriste za disanje pod vodom?","Škrge","Pluća","Srce","Jetra","1","8","true","844","2025-05-28 13:04:39.980992"
"346","Koja od ovih životinja je domaća životinja?","Vuk","Ris","Magarac","Slon","3","8","true","787","2025-05-28 13:04:57.351924"
"347","Koja od ovih životinja se hrani biljem?","Lav","Medvjed","Tigar","Konj","4","8","true","788","2025-05-28 13:05:14.420809"
"348","Koji dio tijela životinje omogućuje kretanje po kopnu?","Perje","Krila","Noge","Rep","3","8","true","785","2025-05-28 13:05:19.237862"
"349","Koja od ovih životinja živi u Hrvatskoj?","Lav","Slon","Nosorog","Vuk","4","8","true","785","2025-05-28 13:05:41.441684"
"350","Kamo odlaze ptice selice tokom zime?","U Afriku","U Europu","U Aziju","U Ameriku","1","8","true","814","2025-05-28 13:06:50.539047"
"351","Koji od ovih kukaca može letjeti?","Mrav","Škorpion","Pčela","Glista","3","8","true","800","2025-05-28 13:08:13.494328"
"352","Šta koristi pčela za izradu meda?","Voće","Nektar cvijeća","Sjemenke","Listovi","2","8","true","800","2025-05-28 13:08:21.678144"
"353","Koje od ovih vozila se kreće po vodi?","Automobil","Brod","Zrakoplov","Bicikl","2","8","true","783","2025-05-28 13:09:13.768298"
"354","Koje vozilo koristimo za putovanje zrakom?","Autobus","Avion","Brod","Tramvaj","2","8","true","784","2025-05-28 13:09:22.347845"
"355","Koje vozilo ima dva kotača i koristi se za kratka putovanja?","Automobil","Bicikl","Tramvaj","Autobus","2","8","true","785","2025-05-28 13:09:33.187706"
"356","Koje vozilo se kreće po tračnicama?","Automobil","Vlak","Brod","Avion","2","8","true","784","2025-05-28 13:09:53.076032"
"357","Koji broj je veći, 37 ili 73?","37","73","50","25","2","9","true","788","2025-05-28 14:53:30.315311"
"358","Koliko je 50 veće od 20?","10","20","30","40","3","9","true","782","2025-05-28 14:53:35.779624"
"359","Broj 40 se sastoji od:","4 desetice i 0 jedinica","0 desetica i 4 jedinice","4 desetice i 4 jedinice","0 desetica i 0 jedinica","1","9","true","774","2025-05-28 14:53:45.693579"
"360","Koliko je 30 manje od 80?","50","40","60","30","1","9","true","778","2025-05-28 14:54:04.36703"
"361","Broj 57 se sastoji od:","5 desetica i 7 jedinica","7 desetica i 5 jedinica","5 stotica i 7 jedinica","7 stotica i 5 jedinica","1","9","true","774","2025-05-28 14:54:06.5303"
"362","Koliko je 4 desetice?","4","40","400","4000","2","9","true","771","2025-05-28 14:54:09.228167"
"363","Što znači rimska znamenka V?","1","5","10","100","2","9","true","787","2025-05-28 14:54:11.528758"
"364","Koliko je 12 + 23?","25","35","45","55","2","9","true","777","2025-05-28 14:54:15.653118"
"365","20 podijeljeno sa 5 je:","2","4","5","10","2","9","true","781","2025-05-28 14:54:21.251497"
"366","Višekratnici broja 3 je:","1","4","5","9","4","9","true","862","2025-05-28 14:54:29.935152"
"367","Kolika je polovica broja 14?","6","7","8","9","2","9","true","788","2025-05-28 14:54:32.775267"
"369","Broj 35 se sastoji od:","3 desetice i 5 jedinica","5 desetica i 3 jedinice","3 jedinice i 5 desetica","5 jedinice i 3 stotice","1","9","true","793","2025-05-28 14:55:18.438991"
"370","Koliko je 15 manje od 45?","30","25","40","60","1","9","true","801","2025-05-28 14:55:23.582707"
"371","Što znači rimska znamenka X?","5","10","100","50","2","9","true","772","2025-05-28 14:55:25.646213"
"372","Koliko je 24 + 13?","37","11","47","31","1","9","true","780","2025-05-28 14:55:30.036632"
"373","3 x 7 je:","21","10","14","28","1","9","true","786","2025-05-28 14:55:31.684865"
"374","Kolika je polovica broja 18?","6","9","12","3","2","9","true","780","2025-05-28 14:55:34.081543"
"375","Koliko je 50 podijeljeno sa 5?","5","10","15","20","2","9","true","639","2025-05-28 14:55:36.747982"
"376","Koji je broj paran?","27","31","42","55","3","9","true","787","2025-05-28 14:55:39.806974"
"377","Broj 54 se sastoji od:","4 desetice i 5 jedinica","5 desetica i 4 jedinice","4 desetice i 4 jedinice","5 desetica i 5 jedinica","2","9","true","787","2025-05-28 14:55:54.921659"
"378","Koliko je 15 + 23?","28","38","48","58","2","9","true","786","2025-05-28 14:55:58.680358"
"379","Kako se piše broj 9 u rimskim znamenkama?","VIII","IX","VII","VI","2","9","true","730","2025-05-28 14:56:07.738244"
"380","Koliko je 36 podijeljeno sa 4?","6","8","9","12","3","9","true","787","2025-05-28 14:56:22.583955"
"381","Koliko je 7 x 6?","36","42","48","54","2","9","true","787","2025-05-28 14:56:46.887935"
"382","Što je rezultat 9 x 3?","12","27","36","45","2","9","true","641","2025-05-28 14:56:47.759726"
"383","Koliko je 5 x 8?","30","40","50","60","2","9","true","788","2025-05-28 14:56:49.177679"
"384","4 x 7 je isto što i:","21","24","28","32","3","9","true","789","2025-05-28 14:56:57.686394"
"385","Koji je rezultat množenja 6 x 6?","24","30","36","42","3","9","true","699","2025-05-28 14:57:00.030802"
"386","Što je 8 x 2?","6","10","16","20","3","9","true","788","2025-05-28 14:57:02.232029"
"387","Koliko je 3 x 9?","12","21","27","36","3","9","true","793","2025-05-28 14:57:03.734693"
"388","10 x 5 je isto što i:","40","50","60","70","2","9","true","780","2025-05-28 14:57:05.300229"
"389","Koji je rezultat 2 x 10?","12","20","30","40","2","9","true","781","2025-05-28 14:57:06.63011"
"390","Koliko je 7 x 4?","11","21","28","35","3","9","true","788","2025-05-28 14:57:11.942145"
"391","Koliko je 6 x 8?","42","48","54","60","2","9","true","815","2025-05-28 14:57:30.074392"
"392","Što je 7 x 5?","25","30","35","40","3","9","true","786","2025-05-28 14:57:30.75224"
"393","Koliko je 9 x 3?","18","24","27","30","3","9","true","782","2025-05-28 14:57:31.694592"
"394","Koji je rezultat množenja 4 x 9?","27","32","36","40","3","9","true","787","2025-05-28 14:57:34.802271"
"395","Koliko je 2 x 10?","12","15","20","25","3","9","true","671","2025-05-28 14:57:35.90475"
"396","Koliko je 3 x 7?","10","17","24","21","4","9","true","780","2025-05-28 14:57:44.581672"
"397","Koliko je 7 x 9?","56","62","70","63","4","9","true","809","2025-05-28 14:57:56.333289"
"398","Koliko je 6 x 9?","50","52","54","53","3","9","true","818","2025-05-28 14:58:11.678746"
"399","Što je rezultat množenja 8 x 8?","60","62","64","61","3","9","true","803","2025-05-28 14:58:18.658565"
"400","Koliko je 4 x 6?","20","22","24","23","3","9","true","803","2025-05-28 14:58:24.226281"
"401","Koliko je 9 x 7?","60","62","63","65","3","9","true","787","2025-05-28 14:58:28.418966"
"402","Što je rezultat množenja 5 x 9?","40","42","44","45","4","9","true","742","2025-05-28 14:58:30.810526"
"403","Što je rezultat množenja 9 x 9?","79","80","81","82","3","9","true","775","2025-05-28 14:58:42.52189"
"404","Koliko je 6 x 6?","30","32","34","36","4","9","true","771","2025-05-28 14:58:43.658081"
"405","Koliko je 5 x 5?","20","24","25","30","3","9","true","736","2025-05-28 14:59:55.685342"
"406","Koliko je 2 x 2?","3","4","5","6","2","9","true","707","2025-05-28 14:59:56.44495"
"407","Koliko je 4 x 4?","14","15","16","20","3","9","true","650","2025-05-28 14:59:57.302709"
"408","Koliko je 3 x 8?","20","22","24","26","3","9","true","788","2025-05-28 15:00:04.019947"
"409","Koliko je 3 x 3?","6","8","10","9","4","9","true","773","2025-05-28 15:00:09.144578"
"410","Koliko je 0 x 9?","1","8","0","9","3","9","true","806","2025-05-28 15:00:26.900475"
"411","Što je rezultat 7 x 0?","7","0","1","49","2","9","true","789","2025-05-28 15:00:28.344886"
"412","Koliko je 1 x 6?","5","6","7","8","2","9","true","789","2025-05-28 15:00:29.940697"
"413","Koliko je 0 x 1?","0","1","2","10","1","9","true","772","2025-05-28 15:00:31.167225"
"414","Što je rezultat 9 x 1?","8","9","10","11","2","9","true","657","2025-05-28 15:00:32.238344"
"415","Koliko je 0 / 1?","0","1","2","10","1","9","true","779","2025-05-28 15:00:38.703597"
"416","Koliko je 1 / 0?","0","1","nije definirano","10","3","9","true","954","2025-05-28 15:00:39.987765"
"417","Što je rezultat 0 x 8?","1","8","0","9","3","9","true","759","2025-05-28 15:00:41.283598"
"418","Koliko je 6 x 0?","6","0","1","12","2","9","true","658","2025-05-28 15:00:42.315131"
"419","Koliko je 1 x 9?","8","9","10","11","2","9","true","616","2025-05-28 15:00:43.447965"
"420","Kolika je polovica broja 12?","4","6","8","10","2","9","true","792","2025-05-28 15:01:21.293954"
"421","Kolika je trećina broja 18?","4","5","6","7","3","9","true","714","2025-05-28 15:01:25.724613"
"422","Kolika je četvrtina broja 20?","3","4","5","6","3","9","true","779","2025-05-28 15:01:31.725667"
"423","Kolika je trećina broja 21?","7","6","5","8","1","9","true","786","2025-05-28 15:01:42.861152"
"424","Kolika je četvrtina broja 24?","4","5","6","7","3","9","true","816","2025-05-28 15:01:48.442438"
"425","Kolika je trećina broja 15?","3","4","6","5","4","9","true","789","2025-05-28 15:01:59.378224"
"426","Kolika je četvrtina broja 28?","5","6","7","8","3","9","true","801","2025-05-28 15:02:06.744585"
"427","Kolika je polovica broja 22?","9","10","11","12","3","9","true","780","2025-05-28 15:02:08.797191"
"428","Koji rimski broj predstavlja broj 8?","IV","VIII","VI","IX","2","9","true","888","2025-05-28 15:03:21.617429"
"429","Koji rimski broj je veći, VI ili IV?","VI","IV","isti su","ne znam","1","9","true","788","2025-05-28 15:03:31.679946"
"430","Koliko je IV + III?","VII","VI","VIII","IX","1","9","true","792","2025-05-28 15:03:38.127261"
"431","Koji rimski broj predstavlja broj 12?","XII","VII","X","XI","1","9","true","803","2025-05-28 15:03:39.828241"
"432","Što je X - V?","VI","V","IV","III","2","9","true","888","2025-05-28 15:03:45.894476"
